,smiles
0,[O:11]=[C:12]1[O:13][CH:14][CH2:15][N:16]1[CH2:17][OH:18]
1,[CH3:11][CH2:12][O:13][CH2:14][O:15][CH2:16][CH2:17][CH2:18][CH2:19][OH:20]
2,[CH3:1][NH:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][NH:8][CH2:9][CH2:10]1
3,[CH:9]=[C:10]1[CH2:11][O:12][C:13]([O:14][CH3:15])([O:16][CH3:17])[O:18]1
4,[O:10]=[C:11]1[NH:12][C:13](=[O:14])[C@H:15]2[CH2:16][CH2:17][CH2:18][C@@H:19]12
5,[CH3:1][c:2]1[cH:3][c:4]2[c:5][cH:6][cH:7][cH:8][c:9]2[nH:10]1
6,[CH3:1][c:2]1[cH:3][c:4][cH:5][c:6]([CH2:7][NH2:8])[c:9]1[OH:10]
7,[OH:10][C@@:11]12[CH2:12][CH2:13][CH2:14][CH2:15][C@H:16]1[CH2:17][CH2:18]2
8,[CH3:1][O:2][CH2:3][O:4][CH2:5][CH2:6][NH2:7]
9,[CH2:11]=[CH:12][CH:13][n:14]1[cH:15][n:16][cH:17][n:18]1
10,[CH3:1][CH2:2][n:3]1[n:4][c:5][c:6]([CH2:7][NH2:8])[n:9]1
11,[CH3:1][C@@H:2]1[C:3](=[O:4])[O:5][C:6]2[O:7][C@H:8]12
12,[CH2:9][C:10]1=[CH:11][CH2:12][CH2:13][O:14][C:15]1([CH3:16])[CH3:17]
13,[CH3:11][CH2:12][C:13](=[NH:14])[O:15][CH2:16][CH3:17]
14,[CH3:1][C@@H:2]1[CH:3]=[C:4]([OH:5])[CH:6][CH2:7][CH2:8]1
15,[N:10]#[C:11][CH2:12][C@@H:13]1[CH2:14][CH2:15][NH:16][NH:17]1
16,[CH3:1][C:2]1=[N:3][CH:4][CH2:5][N:6]=[C:7]1[CH3:8]
17,[CH2:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:7][c:8]([NH2:9])[n:10]1
18,[CH3:1][CH2:2][CH2:3][C:4]1([CH2:5][CH3:6])[O:7][CH2:8][CH2:9][O:10]1
19,[CH3:1][NH:2][C@@H:3]1[CH2:4][NH:5][CH2:6][C@@H:7]1[OH:8]
20,[O:11]=[c:12]1[c:13][c:14]([CH2:15][OH:16])[cH:17][cH:18][nH:19]1
21,[CH3:1][O:2][C:3]([CH2:4])([OH:5])[O:6][CH3:7]
22,[CH3:1][C@:2]1([NH2:3])[CH2:4][CH2:5][CH2:6][CH:7][C@H:8]1[NH2:9]
23,[O:10]=[c:11]1[nH:12][nH:13][n:14][c:15]2[n:16][n:17][n:18][c:19]1-2
24,[CH3:1][C:2](/[CH:3]=[CH:4]/[C:5](=[O:6])[OH:7])=[N:8]\[OH:9]
25,[CH2:9]=[C:10]([CH3:11])[C:12](=[O:13])[O:14][CH2:15][OH:16]
26,[CH3:11][CH2:12][c:13]1[c:14][cH:15][cH:16][c:17]([CH2:18][CH3:19])[n:20]1
27,[NH:11][C@@H:12]([CH2:13][NH2:14])[c:15]1[cH:16][cH:17][cH:18][o:19]1
28,[CH:1]1=[CH:2]/[N:3]=[CH:4]\[CH2:5][O:6][CH:7]=[CH:8]1
29,[CH:1]12[CH:2]3[CH:3]4[CH:4]5[CH:5]4[CH:6]4[CH:7]([CH:8]4[CH:9]13)[CH:10]25
30,[CH3:10][n:11]1[cH:12][cH:13][c:14]([CH2:15][CH:16][NH2:17])[cH:18]1
31,[CH2:11]1[C:12]2[CH2:13][CH:14]3[CH:15]1[CH:16]3[CH2:17]2
32,[CH3:10][N:11]1[CH2:12][c:13]2[cH:14][cH:15][cH:16][n:17][c:18]2[CH2:19]1
33,[CH:1]#[C:2][C@H:3]([CH3:4])[O:5][CH:6]=[CH2:7]
34,[CH3:1][C:2]1([CH:3]=[O:4])[CH2:5][CH2:6][CH:7][CH2:8][CH2:9]1
